CPU,Memory,,TimeSlot,Timestamp,runtime,expected mitigation latency
0.160208333,0.65544796,,1000,303,939,35
0.29275,0.760073662,,1000,621,577,40
0.081208333,0.716104507,,1000,431,625,30
0.068333333,0.470380783,,1000,222,365,30
0.124875,0.723983288,,1000,618,770,30
0.555385417,0.771128297,,1000,995,1497,40
0.299020833,0.742987394,,1000,725,1256,35
0.088,0.766767025,,1000,384,995,50
0.056166667,0.538963318,,1000,492,830,15
0.300625,0.895314217,,1000,765,444,35
0.168166667,0.576976776,,1000,744,118,35
0.0755625,0.323095798,,1000,255,210,40
0.193791667,0.780622482,,1000,171,343,45
0.159875,0.61896801,,1000,418,736,40
0.141708333,0.678667068,,1000,123,218,45
0.178375,0.663805962,,1000,277,985,20
0.096333333,0.798241615,,1000,903,1161,20
0.400625,0.770601749,,1000,965,391,40
0.044083333,0.897355318,,1000,131,892,40
0.107927083,0.675152898,,1000,190,447,35
0.122,0.741303921,,1000,31,773,45
0.268291667,0.665318251,,1000,147,1102,50
0.274166667,0.74489665,,1000,989,458,25
0.287375,0.628917694,,1000,982,1063,20
0.069708333,0.657883644,,1000,973,1061,25
0.165083333,0.744948864,,1000,764,777,40
0.1230625,0.611837864,,1000,904,1026,25
0.198708333,0.784751415,,1000,252,918,25
0.067125,0.656623363,,1000,623,25,50
0.13928125,0.204831378,,1000,109,1231,45
0.29075,0.593286037,,1000,825,616,20
0.197625,0.662540913,,1000,675,975,35
0.121,0.742715359,,1000,849,772,20
0.074375,0.679845333,,1000,239,523,20
0.1658125,0.692981482,,1000,845,1380,25
0.53975,0.699856281,,1000,190,1026,25
0.300395833,0.581107616,,1000,974,1062,40
0.220708333,0.723525047,,1000,538,882,25
0.188958333,0.742721081,,1000,737,505,35
0.200208333,0.775541306,,1000,905,672,15
0.126625,0.613756657,,1000,820,863,25
0.1511875,0.683920622,,1000,401,1176,35
0.197083333,0.824734688,,1000,634,1449,35
0.086020833,0.768601656,,1000,113,240,15
0.270041667,0.636087894,,1000,369,1099,35
0.0525,0.496820927,,1000,452,938,40
0.168208333,0.610627174,,1000,444,1084,25
0.398104167,0.643726587,,1000,56,883,40
0.476666667,0.629138231,,1000,656,123,25
0.116833333,0.604127884,,1000,53,404,40
0.218458333,0.720031738,,1000,539,345,25
0.113041667,0.714690208,,1000,108,413,25
0.097291667,0.531553268,,1000,322,1042,25
0.49975,0.785648346,,1000,477,858,40
0.360041667,0.761731625,,1000,717,707,45
0.2835625,0.817193031,,1000,317,415,20
0.08675,0.787460804,,1000,426,171,50
0.3604375,0.841861725,,1000,917,1146,25
0.145375,0.636837959,,1000,77,753,35
0.11625,0.552512646,,1000,775,416,45
0.410458333,0.65399313,,1000,408,1046,25
0.218729508,0.629341125,,1000,269,535,15
0.334541667,0.596128941,,1000,360,571,20
0.145,0.643013477,,1000,861,1038,20
0.225583333,0.405464172,,1000,877,1077,30
0.114083333,0.616185665,,1000,567,238,35
0.069458333,0.596336842,,1000,741,737,25
0.155666667,0.744965076,,1000,600,1401,30
0.080958333,0.539752483,,1000,735,925,35
0.098375,0.736641407,,1000,209,947,25
0.059958333,0.427153111,,1000,432,260,30
